ID;Company Name;URL;Address;ZIP;Market
784;AT&T Wireless, acquired by Cingular;;;;
785;Avalon Hill, acquired by Hasbro;;;;
786;Bell Labs, acquired by AT&T;;;;
787;Bell Atlantic, now part of Verizon;;;;
788;Bell South, acquired by AT&T;;;;
789;Boston Manufacturing Company;;;;
790;Butler International;;;;
791;Chevron, now part of ChevronTexaco;;;;
792;Cingular, now part of AT&T;;;;
793;Coleco Inc. (Connecticut Leather Company);;;;
794;Columbia Records, now part of Sony;;;;
795;Compaq, acquired by Hewlett-Packard in 2002;;;;
796;CommWorks Corporation acquired by UTStarcom in 2003;;;;
797;Connectix Corp.;;;;
798;Conoco, now part of ConocoPhillips;;;;
799;Cray Research;;;;
800;CSK Auto, acquired by O'Reilly;;;;
801;Data Resources Inc (DRI);;;;
802;Digital Equipment Corporation, acquired by Compaq in 1998 (now part of Hewlett-Packard);;;;
803;Enron;;;;
804;Esso (S.O.) - renamed Exxon, now part of Exxon Mobil;;;;
805;Exxon, now part of ExxonMobil;;;;
806;GTE, now part of Verizon;;;;
807;Gulf Oil;;;;
808;Hazel-Atlas Glass Company, acquired in 1956 by the Continental Can Company;;;;
809;IGN Entertainment Inc., formerly Snowball Inc., now owned by News Corp.;;;;
810;Infocom Inc.;;;;
811;Kozmo.com;;;;
812;Lehman Brothers;;;;
813;Lighthouse Design, taken over by Sun Microsystems in 1996;;;;
814;Maxis Software Inc., taken over by EA in 1997;;;;
815;Macromedia, taken over by Adobe Systems in 2005;;;;
816;McDonnell Douglas, now part of Boeing;;;;
817;Merrill Lynch & Co., Inc., acquired by Bank of America at year-end 2008;;;;
818;Nabisco (National Biscuit Company), acquired by Kraft;;;;
819;Nashua Manufacturing Company;;;;
820;Netscape Communications Corporation, now part of Time Warner;;;;
821;NYNEX, now part of Verizon;;;;
822;Oakley, Inc., acquired by Luxottica Group S.p.A.;;;;
823;Orange Micro;;;;
824;Pacific Bell, now part of AT&T;;;;
825;PageNet;;;;
826;Palm, Inc., now split into PalmOne, Inc. and PalmSource, Inc.;;;;
827;Pan American World Airways;;;;
828;PeopleSoft, acquired by Oracle;;;;
829;Phillips Petroleum Company, now part of ConocoPhillips;;;;
830;Rockwell International;;;;
831;Sara Lee Corporation, acquired by Mexican bakery giant Grupo Bimbo;;;;
832;Siebel Systems, acquired by Oracle;;;;
833;Sierra Entertainment Inc. (formerly Sierra On-Line);;;;
834;Southern New England Telephone, now part of AT&T;;;;
835;Southwestern Bell, now part of AT&T;;;;
836;Standard Oil;;;;
837;Standard Oil of Indiana, later became Amoco, still later acquired by BP;;;;
838;Standard Oil of Ohio, or Sohio, now part of BP;;;;
839;Sun Microsystems, now part of Oracle Corporation;;;;
840;Texaco, now part of ChevronTexaco;;;;
841;TSR (Tactical Studies Rules);;;;
842;Union Carbide, now part of Dow Chemical Company;;;;
843;Universal Studios, now part of NBC Universal (controlled by General Electric);;;;
844;US WEST, now part of Qwest;;;;
845;Washington Mutual, now part of J.P. Morgan Chase;;;;
846;Wharton Econometric Forecasting Associates (WEFA), now Global Insight;;;;
847;WorldCom, renamed MCI;;;;
